[2025-10-23 12:52:14] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:14] [DEBUG] Total discount to apply: 178.5
[2025-10-23 12:52:15] [DEBUG] Total discount to apply: 178.5
[2025-10-23 12:52:15] [DEBUG] Total discount to apply: 178.5
[2025-10-23 12:52:15] [DEBUG] Total discount to apply: 178.5
[2025-10-27 14:53:53] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:53:53] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:53:53] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:53:53] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:54:55] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:54:55] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:54:55] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:54:55] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:55:09] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:55:09] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:55:09] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:55:09] [DEBUG] Total discount to apply: 16.9
[2025-10-27 14:55:09] [DEBUG] Total discount to apply: 16.9
[2025-10-27 16:21:40] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:40] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:40] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:59] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:59] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:59] [DEBUG] Total discount to apply: 125
[2025-10-27 16:21:59] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-27 16:22:15] [DEBUG] Total discount to apply: 125
[2025-10-28 05:31:49] [DEBUG] Total discount to apply: 125
[2025-10-28 05:31:49] [DEBUG] Total discount to apply: 125
[2025-10-28 05:31:49] [DEBUG] Total discount to apply: 125
[2025-10-28 05:31:49] [DEBUG] Total discount to apply: 125
[2025-10-29 14:40:31] [DEBUG] Total discount to apply: 178.5
[2025-10-29 14:40:31] [DEBUG] Total discount to apply: 178.5
[2025-10-29 14:40:31] [DEBUG] Total discount to apply: 178.5
[2025-10-29 14:40:31] [DEBUG] Total discount to apply: 178.5
[2025-10-29 14:40:32] [DEBUG] Total discount to apply: 178.5
[2025-10-29 21:14:52] [DEBUG] Total discount to apply: 5
[2025-10-29 21:14:52] [DEBUG] Total discount to apply: 5
[2025-10-29 21:14:52] [DEBUG] Total discount to apply: 5
[2025-10-29 21:14:52] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:15] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:15] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:15] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:42] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:42] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:42] [DEBUG] Total discount to apply: 5
[2025-10-29 21:15:42] [DEBUG] Total discount to apply: 5
[2025-10-29 21:18:37] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:18:37] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:18:37] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:18:37] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 29.25
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:20:05] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:21:06] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:21:06] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:21:06] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:21:06] [DEBUG] Total discount to apply: 45.825
[2025-10-29 21:23:06] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:06] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:06] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:06] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 109
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:23:31] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:25:21] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:25:21] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:25:21] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:25:21] [DEBUG] Total discount to apply: 138.25
[2025-10-29 21:25:21] [DEBUG] Total discount to apply: 138.25
[2025-11-04 05:17:20] [DEBUG] Total discount to apply: 75
[2025-11-04 05:17:20] [DEBUG] Total discount to apply: 75
[2025-11-04 05:17:20] [DEBUG] Total discount to apply: 75
[2025-11-04 05:17:20] [DEBUG] Total discount to apply: 75
[2025-11-04 19:58:55] [DEBUG] Total discount to apply: 125
[2025-11-04 19:58:55] [DEBUG] Total discount to apply: 125
[2025-11-05 09:58:46] [DEBUG] Total discount to apply: 205
[2025-11-05 11:43:31] [DEBUG] Total discount to apply: 20
[2025-11-05 13:06:03] [DEBUG] Total discount to apply: 204
[2025-11-07 15:17:42] [DEBUG] Total discount to apply: 195
[2025-11-07 15:17:42] [DEBUG] Total discount to apply: 195
[2025-11-07 15:17:42] [DEBUG] Total discount to apply: 195
[2025-11-10 08:32:56] [DEBUG] Total discount to apply: 29.25
[2025-11-10 08:32:56] [DEBUG] Total discount to apply: 29.25
[2025-11-10 08:32:56] [DEBUG] Total discount to apply: 29.25
[2025-11-10 08:32:56] [DEBUG] Total discount to apply: 29.25
[2025-11-11 10:41:19] [DEBUG] Total discount to apply: 19.5
[2025-11-11 10:41:19] [DEBUG] Total discount to apply: 19.5
[2025-11-11 10:41:19] [DEBUG] Total discount to apply: 19.5
[2025-11-11 10:41:19] [DEBUG] Total discount to apply: 19.5
[2025-11-12 10:01:53] [DEBUG] Total discount to apply: 150
[2025-11-12 10:01:54] [DEBUG] Total discount to apply: 150
[2025-11-12 10:01:54] [DEBUG] Total discount to apply: 150
[2025-11-12 10:01:54] [DEBUG] Total discount to apply: 150
[2025-11-18 09:31:31] [DEBUG] Total discount to apply: 165
[2025-11-18 09:31:31] [DEBUG] Total discount to apply: 165
[2025-11-18 09:31:31] [DEBUG] Total discount to apply: 165
[2025-11-19 16:33:45] [DEBUG] Total discount to apply: 180
[2025-11-19 16:33:45] [DEBUG] Total discount to apply: 180
[2025-11-19 16:33:45] [DEBUG] Total discount to apply: 180
[2025-11-19 16:34:14] [DEBUG] Total discount to apply: 180
